Outcome,Approach,Estimate,SE,CI_Lower,CI_Upper,Correlation,Measure,Selection
O2,Bivariate Selection on zscore,0.6675087499289192,0.3589501123227677,-0.03603347022370551,1.3710509700815439,-0.9,log OR,1
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,1.1
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,1.1
O1,Bivariate Selection on effect,1.6242764821919382,0.19344182475872,1.245130505664847,2.0034224587190295,-0.9,log OR,1.1
O2,Bivariate Selection on effect,0.5643933771610917,0.3653745624770515,-0.15174076529392921,1.2805275196161126,-0.9,log OR,1.1
O1,Bivariate Selection on zscore,1.5997427331368188,0.1897494921929666,1.2278337284386043,1.9716517378350333,-0.9,log OR,1.1
O2,Bivariate Selection on zscore,0.649896508671634,0.35819184630237827,-0.05215951008102748,1.3519525274242954,-0.9,log OR,1.1
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,1.2000000000000002
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,1.2000000000000002
O1,Bivariate Selection on effect,1.624708083747318,0.19355396678174225,1.2453423088551032,2.004073858639533,-0.9,log OR,1.2000000000000002
O2,Bivariate Selection on effect,0.5453627401108622,0.3648945186905028,-0.16983051652252334,1.2605559967442477,-0.9,log OR,1.2000000000000002
O1,Bivariate Selection on zscore,1.5982557548851497,0.18943986259785106,1.2269536241933616,1.9695578855769378,-0.9,log OR,1.2000000000000002
O2,Bivariate Selection on zscore,0.6331044566448223,0.3574082600554754,-0.06741573306390947,1.3336246463535542,-0.9,log OR,1.2000000000000002
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,1.3
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,1.3
O1,Bivariate Selection on effect,1.6249384388313404,0.19364046323524678,1.2454031308902567,2.0044737467724243,-0.9,log OR,1.3
O2,Bivariate Selection on effect,0.5285430177990261,0.3643781047019958,-0.1856380674168856,1.2427241030149379,-0.9,log OR,1.3
O1,Bivariate Selection on zscore,1.5965700949539687,0.18909003127711835,1.2259536336508168,1.9671865562571207,-0.9,log OR,1.3
O2,Bivariate Selection on zscore,0.617222093531923,0.3566011002026254,-0.08171606286522282,1.316160249929069,-0.9,log OR,1.3
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0
O1,Bivariate Selection on effect,1.1341678378722666,0.1538760572192471,0.8325707657225423,1.435764910021991,-0.9,log RR,0
O2,Bivariate Selection on effect,0.8949535242163589,0.35226917028916443,0.20450595044959663,1.5854010979831212,-0.9,log RR,0
O1,Bivariate Selection on zscore,1.1341678378722666,0.1538760572192471,0.8325707657225423,1.435764910021991,-0.9,log RR,0
O2,Bivariate Selection on zscore,0.8949535242163589,0.35226917028916443,0.20450595044959663,1.5854010979831212,-0.9,log RR,0
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.1
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.1
O1,Bivariate Selection on effect,1.1366778756413265,0.15412780266429935,0.8345873824192998,1.4387683688633532,-0.9,log RR,0.1
O2,Bivariate Selection on effect,0.8637772452703135,0.3528677111159188,0.17215653148311272,1.5553979590575144,-0.9,log RR,0.1
O1,Bivariate Selection on zscore,1.134383581355425,0.15400998414033332,0.8325240124403718,1.4362431502704784,-0.9,log RR,0.1
O2,Bivariate Selection on zscore,0.8726036695638177,0.352394565132471,0.18191032190417455,1.5632970172234608,-0.9,log RR,0.1
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.2
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.2
O1,Bivariate Selection on effect,1.139162334286359,0.15437404863277945,0.8365891989661114,1.4417354696066067,-0.9,log RR,0.2
O2,Bivariate Selection on effect,0.8323054039947758,0.3536776984698926,0.1390971149937863,1.5255136929957653,-0.9,log RR,0.2
O1,Bivariate Selection on zscore,1.1345500751781885,0.15412947942349595,0.8324562955081365,1.4366438548482405,-0.9,log RR,0.2
O2,Bivariate Selection on zscore,0.8501945772094458,0.3525476935658244,0.15920109782043002,1.5411880565984615,-0.9,log RR,0.2
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.30000000000000004
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.30000000000000004
O1,Bivariate Selection on effect,1.1416310656480648,0.15462012844011797,0.8385756139054337,1.444686517390696,-0.9,log RR,0.30000000000000004
O2,Bivariate Selection on effect,0.8005109680777197,0.35473787258542905,0.10522473781027875,1.4957971983451608,-0.9,log RR,0.30000000000000004
O1,Bivariate Selection on zscore,1.134668087962458,0.1542316297367647,0.8323740936783992,1.4369620822465168,-0.9,log RR,0.30000000000000004
O2,Bivariate Selection on zscore,0.8277595351982606,0.3527621346489773,0.13634575128626514,1.519173319110256,-0.9,log RR,0.30000000000000004
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.4
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.4
O1,Bivariate Selection on effect,1.1440932703215765,0.15487024214774353,0.8405475957119992,1.4476389449311537,-0.9,log RR,0.4
O2,Bivariate Selection on effect,0.7684136738778973,0.35605005283638724,0.07055557031857829,1.4662717774372163,-0.9,log RR,0.4
O1,Bivariate Selection on zscore,1.1347400515158756,0.15431335262101478,0.8322858803786867,1.4371942226530647,-0.9,log RR,0.4
O2,Bivariate Selection on zscore,0.8053254484766385,0.3530621815036196,0.11332357272954396,1.497327324223733,-0.9,log RR,0.4
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.5
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.5
O1,Bivariate Selection on effect,1.1465542668786297,0.15512662320975085,0.842506085387518,1.4506024483697413,-0.9,log RR,0.5
O2,Bivariate Selection on effect,0.736113016569749,0.3575680930393366,0.03527955421264928,1.4369464789268487,-0.9,log RR,0.5
O1,Bivariate Selection on zscore,1.1347686675399524,0.15437116379389415,0.8322011865039198,1.437336148575985,-0.9,log RR,0.5
O2,Bivariate Selection on zscore,0.7829169315603043,0.3534601129100406,0.09013511025662468,1.475698752863984,-0.9,log RR,0.5
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.6000000000000001
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.6000000000000001
O1,Bivariate Selection on effect,1.1490117804227813,0.1553891459117182,0.8444490544358136,1.453574506409749,-0.9,log RR,0.6000000000000001
O2,Bivariate Selection on effect,0.7038152810831453,0.3592024203354775,-2.214627743906128e-4,1.4078520249406812,-0.9,log RR,0.6000000000000001
O1,Bivariate Selection on zscore,1.1347553251173024,0.15440098674761596,0.8321293910919751,1.4373812591426296,-0.9,log RR,0.6000000000000001
O2,Bivariate Selection on zscore,0.7605604917063914,0.3539545582318963,0.06680955757187468,1.454311425840908,-0.9,log RR,0.6000000000000001
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.7000000000000001
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.7000000000000001
O1,Bivariate Selection on effect,1.1514531575865705,0.15565547705323762,0.8463684225622248,1.4565378926109163,-0.9,log RR,0.7000000000000001
O2,Bivariate Selection on effect,0.6718413242765856,0.3608394953781707,-0.03540408666462902,1.3790867352178002,-0.9,log RR,0.7000000000000001
O1,Bivariate Selection on zscore,1.1346985931359985,0.1543980406628667,0.8320784334367798,1.4373187528352172,-0.9,log RR,0.7000000000000001
O2,Bivariate Selection on zscore,0.7382886223450875,0.3545298891697766,0.043410039572325365,1.4331672051178497,-0.9,log RR,0.7000000000000001
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.8
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.8
O1,Bivariate Selection on effect,1.1538547880952674,0.15592173195602962,0.8482481934614494,1.4594613827290854,-0.9,log RR,0.8
O2,Bivariate Selection on effect,0.6406065751636727,0.36236991919627665,-0.06963846646102956,1.350851616788375,-0.9,log RR,0.8
O1,Bivariate Selection on zscore,1.1345930843542553,0.15435684727220084,0.8320536637007416,1.437132505007769,-0.9,log RR,0.8
O2,Bivariate Selection on zscore,0.7161438444311994,0.35515658048810533,0.020036946674512945,1.4122507421878858,-0.9,log RR,0.8
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,0.9
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,0.9
O1,Bivariate Selection on effect,1.1561843308810593,0.156183428014603,0.8500648119724374,1.4623038497896812,-0.9,log RR,0.9
O2,Bivariate Selection on effect,0.6105741972365587,0.3637149056195042,-0.10230701777766948,1.3234554122507869,-0.9,log RR,0.9
O1,Bivariate Selection on zscore,1.1344289740970546,0.15427139537920526,0.8320570391538122,1.436800909040297,-0.9,log RR,0.9
O2,Bivariate Selection on zscore,0.6941827885293828,0.35579260998543866,-0.003170727042076993,1.3915363041008426,-0.9,log RR,0.9
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,1
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,1
O1,Bivariate Selection on effect,1.1584053002989105,0.15643642318561984,0.8517899108550957,1.4650206897427254,-0.9,log RR,1
O2,Bivariate Selection on effect,0.5821928887935679,0.36484136745906764,-0.13289619142620468,1.2972819690133406,-0.9,log RR,1
O1,Bivariate Selection on zscore,1.134192385781924,0.15413548773400745,0.8320868298232694,1.4362979417405786,-0.9,log RR,1
O2,Bivariate Selection on zscore,0.6724802139267168,0.35638612249959883,-0.026036586172496934,1.3709970140259304,-0.9,log RR,1
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,1.1
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,1.1
O1,Bivariate Selection on effect,1.1604826605845553,0.15667755828449126,0.8533946463469524,1.4675706748221582,-0.9,log RR,1.1
O2,Bivariate Selection on effect,0.555836936832517,0.36576133473034483,-0.1610552792389589,1.272729152903993,-0.9,log RR,1.1
O1,Bivariate Selection on zscore,1.1338667249755134,0.15394326704870173,0.8321379215600581,1.435595528390969,-0.9,log RR,1.1
O2,Bivariate Selection on zscore,0.6511324371687254,0.3568796221417846,-0.04835162222917244,1.3506164965666232,-0.9,log RR,1.1
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,1.2000000000000002
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,1.2000000000000002
O1,Bivariate Selection on effect,1.1623877881435944,0.1569048808967857,0.8548542215858945,1.4699213547012944,-0.9,log RR,1.2000000000000002
O2,Bivariate Selection on effect,0.531764465460561,0.3665186436728622,-0.18661207613824893,1.250141007059371,-0.9,log RR,1.2000000000000002
O1,Bivariate Selection on zscore,1.1334348636758476,0.15368987977634035,0.8322026993142204,1.4346670280374747,-0.9,log RR,1.2000000000000002
O2,Bivariate Selection on zscore,0.6302591548603936,0.35721575647054365,-0.06988372782187191,1.330402037542659,-0.9,log RR,1.2000000000000002
O1,Naive estimate,1.1229664209597934,0.15366682419488606,0.8217849799191685,1.4241478620004182,-0.9,log RR,1.3
O2,Naive estimate,1.2265264488477616,0.4583084462236316,0.3282584004389316,2.1247944972565915,-0.9,log RR,1.3
O1,Bivariate Selection on effect,1.1641015969333102,0.15711751507563443,0.8561512673850666,1.4720519264815537,-0.9,log RR,1.3
O2,Bivariate Selection on effect,0.5101016952424373,0.36717042494322844,-0.20955233764629044,1.229755728131165,-0.9,log RR,1.3
O1,Bivariate Selection on zscore,1.1328818748932394,0.15337219653884945,0.8322723696770945,1.4334913801093845,-0.9,log RR,1.3
O2,Bivariate Selection on zscore,0.6100023611865215,0.3573442895813002,-0.09039244639282684,1.3103971687658698,-0.9,log RR,1.3
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0
O1,Bivariate Selection on effect,1.5577152621775046,0.18773963461079082,1.1897455783403545,1.9256849460146546,-0.6,log OR,0
O2,Bivariate Selection on effect,1.0025702706963566,0.42017895428247015,0.17901952030271517,1.826121021089998,-0.6,log OR,0
O1,Bivariate Selection on zscore,1.5577152621775046,0.18773963461079082,1.1897455783403545,1.9256849460146546,-0.6,log OR,0
O2,Bivariate Selection on zscore,1.0025702706963566,0.42017895428247015,0.17901952030271517,1.826121021089998,-0.6,log OR,0
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.1
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.1
O1,Bivariate Selection on effect,1.5580937327523299,0.18820791592202185,1.189206217545167,1.9269812479594928,-0.6,log OR,0.1
O2,Bivariate Selection on effect,0.9350510172506681,0.41703713879885856,0.11765822520490532,1.7524438092964307,-0.6,log OR,0.1
O1,Bivariate Selection on zscore,1.5557664328782759,0.18791468746577836,1.1874536454453504,1.9240792203112014,-0.6,log OR,0.1
O2,Bivariate Selection on zscore,0.9450234433390078,0.41742827550017825,0.12686402335865843,1.7631828633193571,-0.6,log OR,0.1
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.2
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.2
O1,Bivariate Selection on effect,1.5582894823387514,0.18873908908401707,1.188360867734078,1.9282180969434248,-0.6,log OR,0.2
O2,Bivariate Selection on effect,0.8712405929701449,0.4127133163022468,0.062322493017741176,1.6801586929225487,-0.6,log OR,0.2
O1,Bivariate Selection on zscore,1.5535074928473365,0.1881699812380955,1.1846943296206693,1.9223206560740036,-0.6,log OR,0.2
O2,Bivariate Selection on zscore,0.889212727016658,0.4137117187354891,0.07833775829509937,1.7000876957382167,-0.6,log OR,0.2
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.30000000000000004
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.30000000000000004
O1,Bivariate Selection on effect,1.5580442349057688,0.1893633271009396,1.1868921137879274,1.9291963560236103,-0.6,log OR,0.30000000000000004
O2,Bivariate Selection on effect,0.8118478601959784,0.40742270673428255,0.013299354996784696,1.610396365395172,-0.6,log OR,0.30000000000000004
O1,Bivariate Selection on zscore,1.5507505688935812,0.1885851820282326,1.1811236121182453,1.920377525668917,-0.6,log OR,0.30000000000000004
O2,Bivariate Selection on zscore,0.8355977092357029,0.40913707534868193,0.03368904155228625,1.6375063769191196,-0.6,log OR,0.30000000000000004
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.4
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.4
O1,Bivariate Selection on effect,1.5571085243569798,0.1901307460093153,1.1844522621787217,1.9297647865352379,-0.6,log OR,0.4
O2,Bivariate Selection on effect,0.7573682517573826,0.40132522540309334,-0.02922919003268032,1.5439656935474457,-0.6,log OR,0.4
O1,Bivariate Selection on zscore,1.5472790568287473,0.18928232336348202,1.1762857030363225,1.9182724106211722,-0.6,log OR,0.4
O2,Bivariate Selection on zscore,0.784519060154134,0.4037681924054486,-0.006866596960545257,1.5759047172688132,-0.6,log OR,0.4
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.5
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.5
O1,Bivariate Selection on effect,1.5552786511981487,0.19110860973644805,1.1807057761147104,1.929851526281587,-0.6,log OR,0.5
O2,Bivariate Selection on effect,0.7081693547219324,0.3945952002686243,-0.06523723780457125,1.481575947248436,-0.6,log OR,0.5
O1,Bivariate Selection on zscore,1.5428559136672602,0.1904206098646985,1.169631518332451,1.9160803090020693,-0.6,log OR,0.5
O2,Bivariate Selection on zscore,0.736263363037399,0.39763603842599143,-0.04310327227754418,1.5156299983523422,-0.6,log OR,0.5
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.6000000000000001
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.6000000000000001
O1,Bivariate Selection on effect,1.5524246676972635,0.19236659275534018,1.1753861458967967,1.9294631894977303,-0.6,log OR,0.6000000000000001
O2,Bivariate Selection on effect,0.664501440896569,0.3874620011549787,-0.09492408136718922,1.4239269631603273,-0.6,log OR,0.6000000000000001
O1,Bivariate Selection on zscore,1.5372478218799355,0.19216497057944498,1.1606044795442232,1.9138911642156478,-0.6,log OR,0.6000000000000001
O2,Bivariate Selection on zscore,0.6911333921415185,0.39076017767331916,-0.0747565560981871,1.457023340381224,-0.6,log OR,0.6000000000000001
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.7000000000000001
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.7000000000000001
O1,Bivariate Selection on effect,1.5485063615757166,0.19395433161185657,1.1683558716164777,1.9286568515349556,-0.6,log OR,0.7000000000000001
O2,Bivariate Selection on effect,0.6264659971251261,0.38020835050875146,-0.1187423698720268,1.371674364122279,-0.6,log OR,0.7000000000000001
O1,Bivariate Selection on zscore,1.5302790277738627,0.19462542334407243,1.1488131980194807,1.9117448575282447,-0.6,log OR,0.7000000000000001
O2,Bivariate Selection on zscore,0.6495148629275492,0.3831882745464082,-0.1015341551834108,1.4005638810385093,-0.6,log OR,0.7000000000000001
O1,Naive estimate,1.5579846694444206,0.18937078996178003,1.1868247413954327,1.9291445974934085,-0.6,log OR,0.8
O2,Naive estimate,1.144008830309589,0.47628551649410744,0.2105063716230806,2.0775112889960976,-0.6,log OR,0.8
